"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"mu_alpha[1]",-1.80753790188889,-1.812565,0.260403597161526,0.255533523,-2.2261515,-1.379065,1.00496899285678,1395.42225167243,2145.73841370544
"mu_alpha[2]",-1.651478993,-1.64993,0.281528373898389,0.279944532,-2.1135605,-1.1971,1.01047733627326,2027.72843211343,5633.37949860985
"mu_beta[1]",1.54613864111111,1.54311,0.126974900727005,0.125620698,1.342483,1.7589505,1.00126924408658,3772.80772581467,5862.33392578443
"mu_beta[2]",1.28670558655556,1.2883,0.162547039588269,0.159268305,1.017056,1.549243,1.00092301576352,4435.30658564691,7270.08966589358
"mu_soc0[1]",-2.06464485888889,-2.055455,0.294439197842053,0.286089909,-2.567021,-1.6005545,1.00143140212753,4829.09673403176,7706.03525421977
"mu_soc0[2]",-2.06533593666667,-2.055955,0.242285200807743,0.239936571,-2.4830705,-1.6821365,1.00456947679876,4462.97525012026,7408.65487714263
"mu_theta[1]",1.56175454888889,1.51007,0.461571138846259,0.431325405,0.909186,2.396264,1.00527792222433,4062.53595111146,6320.08594397657
"mu_theta[2]",1.78246009488889,1.702835,0.60349342414095,0.553625079,0.95743095,2.875874,1.00496038910417,4698.71876438672,7136.974512969
"s_alpha[1]",1.35307302855556,1.207175,0.670112112840614,0.5763058938,0.5505859,2.631473,1.00045843909177,7413.67551909074,8503.19964176441
"s_alpha[2]",1.45855985122222,1.30462,0.725778397570425,0.6257380017,0.5881006,2.836045,1.00012492214884,8857.75445200323,8061.85249490727
"s_beta[1]",0.923923502888889,0.7997885,0.53974206549058,0.4456754904,0.3087493,1.949272,1.00036524992638,8677.71025771295,8381.32644132526
"s_beta[2]",1.20811296688889,1.04904,0.699562590299291,0.5768685405,0.39690265,2.5765385,1.00130940724769,8321.47502825953,8672.33678962823
"s_soc0[1]",1.61618984188889,1.44474,0.807932042457938,0.6980985186,0.63367215,3.158791,0.999981635712066,9508.48218299852,9035.03599387661
"s_soc0[2]",1.10450692588889,0.995101,0.560214997860115,0.4796796627,0.4285353,2.1771885,1.00057233357601,8974.92079664082,8794.49851653207
"s_theta[1]",1.20330097655556,1.071095,0.63145068899622,0.542868816,0.44995745,2.402936,0.999978304315431,7796.85398168954,8558.76252855131
"s_theta[2]",1.544919846,1.37963,0.803560119944401,0.6915572874,0.58089465,3.0535515,1.00000682368679,8250.43625333485,8063.81637818136
"Rho_ID[1,1]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[2,1]",0.00771051371097778,0.00951186,0.14626306788232,0.148224358296,-0.23743555,0.24485825,1.02036231724013,297.164699810947,3337.44285331453
"Rho_ID[3,1]",0.388820839261111,0.393988,0.113653466170968,0.1148384895,0.19256695,0.5674473,1.00477355813925,2793.0592917829,6146.53955788321
"Rho_ID[4,1]",-0.191090813796162,-0.190535,0.16857821961433,0.17403729903,-0.46654965,0.0917250749999999,1.00201591442547,2695.18335109348,5208.08984868135
"Rho_ID[1,2]",0.00771051371097778,0.00951186,0.14626306788232,0.148224358296,-0.23743555,0.24485825,1.02036231724013,297.164699810947,3337.44285331453
"Rho_ID[2,2]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[3,2]",-0.314708040443889,-0.3206365,0.127400907639162,0.1277215422,-0.51550135,-0.0969023900000002,1.0037350919794,3227.99918528554,5227.78727748557
"Rho_ID[4,2]",0.0868253954489533,0.0939841,0.15564318865207,0.153075818385,-0.18556435,0.32841,1.00430645783928,3234.04343489184,5319.06997113691
"Rho_ID[1,3]",0.388820839261111,0.393988,0.113653466170968,0.1148384895,0.19256695,0.5674473,1.00477355813925,2793.0592917829,6146.53955788321
"Rho_ID[2,3]",-0.314708040443889,-0.3206365,0.127400907639162,0.1277215422,-0.51550135,-0.0969023900000002,1.0037350919794,3227.99918528554,5227.78727748557
"Rho_ID[3,3]",1,1,0,0,1,1,NA,NA,NA
"Rho_ID[4,3]",-0.291359929772667,-0.294458,0.160465197475689,0.1632290709,-0.5503286,-0.0217950850000002,1.00100984004454,3881.0534598026,6007.26341277185
"Rho_ID[1,4]",-0.191090813796162,-0.190535,0.16857821961433,0.17403729903,-0.46654965,0.0917250749999999,1.00201591442547,2695.18335109348,5208.08984868135
"Rho_ID[2,4]",0.0868253954489533,0.0939841,0.15564318865207,0.153075818385,-0.18556435,0.32841,1.00430645783928,3234.04343489184,5319.06997113691
"Rho_ID[3,4]",-0.291359929772667,-0.294458,0.160465197475689,0.1632290709,-0.5503286,-0.0217950850000002,1.00100984004454,3881.0534598026,6007.26341277185
"Rho_ID[4,4]",1,1,0,0,1,1,NA,NA,NA
